cc,provider,duracion_min_meses,renovacion_auto,preaviso_dias,penalizacion,terminal_regimen,minimo_mensual,exclusividad,cita_exclusividad,fuente_url,fecha,estado
GR,Cardlink - alquiler de POS,SEGUN_ACUERDO en la Orden,Sí,SEGUN_ACUERDO,Si termina antes del periodo mínimo inicial acordado: todas las rentas del periodo completo; cargos prepagados de soporte no reembolsables,Alquiler; devolución dentro de 10 días laborables; compra transmite propiedad al pagarse íntegramente,NO_ENCONTRADO,NO_ENCONTRADO,Los Terms of POS Supply revisados no contienen cláusula de exclusividad.,https://cardlink.gr/en/terms-of-pos-supply/,2026-08-20,VERIFICADO_PARCIAL_EXCLUSIVIDAD
GR,Cardlink one - indicio FAQ,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,Servicio de aceptación prestado en cooperación con Worldline Greece,NO_ENCONTRADO,INDICIO_SI_NO_CONTRACTUAL,Cardlink one is the simplest way to accept payments to your business with Cardlink as your exclusive partner.,https://cardlink.gr/en/support/ti-einai-to-cardlink-one/,2026-08-20,NO_VERIFICADA_CONTRACTUALMENTE
GR,Nexi Greece,0,No; contrato de duración indefinida,NO_ENCONTRADO,NO_ENCONTRADO,Hardware comprado; SoftPOS por suscripción mensual,NO_ENCONTRADO,NO,"Η Επιχείρηση δεν συνδέεται με την Nexi για την αποδοχή καρτών κατ΄ αποκλειστικότητα, ούτε η παρούσα Σύμβαση συνδέεται με οποιονδήποτε τρόπο με άλλη...",https://www.nexi.gr/content/dam/nexigr/download/terms-and-conditions/updated-terms---conditions/%CE%93%CE%95%CE%9D%CE%99%CE%9A%CE%9F%CE%99%20%CE%9F%CE%A1%CE%9F%CE%99.docx,2026-08-20,VERIFICADO_PARCIAL
GR,Revolut Business,0,N/A: contrato indefinido hasta rescisión,30,NO_ENCONTRADO; siguen exigibles las obligaciones financieras y transacciones pendientes.,No disponible en el mercado.,Estándar: NO_ENCONTRADO. Enterprise puede acordar un Minimum Acquiring Markup mensual o anual sin cifra pública.,NO_ENCONTRADO,NO_ENCONTRADO: el Payment Processing Services Agreement vigente no contiene una cláusula literal que prohíba un segundo adquirente.,https://cdn.revolut.com/terms_and_conditions/pdf/payment_processing_services_agreement_ed327049_1.3.0_1757603458_en.pdf,2026-08-20,PARCIAL
GR,Teya,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,El selector oficial no ofrece locale merchant griego; no se reutiliza contrato de otro país.,https://pomoc.teya.com/hc/cs-cz/articles/29300601859473-Poplatky-za-Tap-to-Pay,2026-08-20,NO_ENCONTRADO_LOCALIZADO
GR,Viva.com,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,Planes por Terminal ID; compra/alquiler y devolución del hardware NO_ENCONTRADO en el documento de Tier Pricing,"Tier Pricing exige compromiso de volumen mensual esperado; importes y bandas no públicos. Plan Zero: factura mínima 4,99 EUR al mes.",NO_ENCONTRADO,El artículo de Tier Pricing no menciona uso de un segundo adquirente.,https://euhelp.viva.com/el/articles/8484758-%CF%84%CE%B9-%CE%B5%CE%AF%CE%BD%CE%B1%CE%B9-%CF%84%CE%BF-tier-pricing-model,2026-08-20,PARCIAL_COMPROMISO_VOLUMEN_CONFIRMADO_SIN_DURACION
GR,Worldline Greece - condiciones generales,0,No; duración indefinida salvo que la Solicitud diga otra cosa,30,"NO_ENCONTRADO para terminación ordinaria; si cambia precios, el comercio puede rechazarlos y terminar sin coste de cancelación",Según Solicitud y producto; los paquetes Easy incluyen uso del terminal durante el periodo pagado,NO_ENCONTRADO,NO_ENCONTRADO,No se encontró la palabra o una cláusula de exclusividad en las condiciones generales públicas revisadas.,https://worldline.com/el-gr/compliancy/terms-and-conditions-for-the-provision-of-services,2026-08-20,VERIFICADO_PARCIAL_EXCLUSIVIDAD
GR,Worldline Greece - Easy,18,"NO_ENCONTRADO; Eurobank cobra cada periodo siguiente mediante orden permanente, pero el texto público no basta para afirmar renovación automática",30,NO_ENCONTRADO,Uso del POS incluido y cobrado por periodos anticipados de 6 meses,NO_ENCONTRADO,NO_ENCONTRADO,"El tarifario regula permanencia y precio, pero no publica cláusula de exclusividad.",https://www.eurobank.gr/-/media/eurobank/rates/timologio-trapezikon-ergasion.pd,2026-08-20,VERIFICADO_PARCIAL_EXCLUSIVIDAD
CY,Bank of Cyprus,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,No se halló contrato merchant separado de JCC,NO_ENCONTRADO,NO_ENCONTRADO,Bank of Cyprus no publica una oferta merchant separada localizada; JCC es su filial participada al 75%.,https://www.bankofcyprus.com/globalassets/group/investor-relations/press-releases/eng/20260511-1q2026-group-press-release_eng_final.pdf,2026-08-20,NO_ENCONTRADO_NO_OFERTA_SEPARADA
CY,JCC Payment Systems,"0 (duración nominal anual, rescindible)",Sí; renovación automática por años sucesivos,15,NO_ENCONTRADO,Equipo de JCC; devolución dentro de 15 días tras terminar o cargo por valor residual,NO_ENCONTRADO,NO_ENCONTRADO,Los Terms for Participation in Card Schemes revisados no contienen cláusula de exclusividad; no se interpreta como 'no'.,https://www.jcc.com.cy/wp-content/uploads/2024/03/TERMS-FOR-THE-PARTICIPATION-IN-CARD-SCHEMES-2.9-nm.pdf,2026-08-20,VERIFICADO_PARCIAL_EXCLUSIVIDAD
CY,Revolut Business,0,N/A: contrato indefinido hasta rescisión,30,NO_ENCONTRADO; siguen exigibles las obligaciones financieras y transacciones pendientes.,Compra única: Terminal €189 + IVA; Lite €139 + IVA.,Estándar: NO_ENCONTRADO. Enterprise puede acordar un Minimum Acquiring Markup mensual o anual sin cifra pública.,NO_ENCONTRADO,NO_ENCONTRADO: el Payment Processing Services Agreement vigente no contiene una cláusula literal que prohíba un segundo adquirente.,https://cdn.revolut.com/terms_and_conditions/pdf/payment_processing_services_agreement_eeff7f25_1.1.0_1757948167_en.pdf,2026-08-20,PARCIAL
CY,Teya,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,El selector oficial no ofrece locale merchant chipriota; no se reutiliza contrato de otro país.,https://pomoc.teya.com/hc/cs-cz/articles/29300601859473-Poplatky-za-Tap-to-Pay,2026-08-20,NO_ENCONTRADO_LOCALIZADO
